"COUNTY","SCHOOL","school_code"
"VENTURA","THURGOOD MARSHAL ELEM",100362
"SANTA CRUZ","TIERRA PACIFICA CHARTER",100388
"SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404
"RIVERSIDE","MONTE VISTA ELEMENTARY",100412
"CONTRA COSTA","LONE TREE ELEMENTARY",100461
"RIVERSIDE","FREEDOM CREST ELEMENTARY",100503
"SAN DIEGO","LILAC SCHOOL",100511
"SUTTER","ANDROS KARPEROS SCHOOL",100537
"RIVERSIDE","LAKE MATHEWS ELEMENTARY",100545
"SAN JOAQUIN","BORCHARDT (LOIS) ELEM",100560
"SAN BERNARDINO","EDWIND RHODES ELEM",100578
"SAN BERNARDINO","WICKMAN  ELEM",100586
"SAN BERNARDINO","LIBERTY ELEMENTARY SC",100594
"LOS ANGELES","DOLORES HUERTA ELEMENTARY",100610
"LOS ANGELES","PICO CANYON ELEM",100636
"LOS ANGELES","DR J MICHAEL MCGRATH ELEMENTARY",100644
"KERN","VALLE VERDE ELEMENTAR",100685
"ORANGE","CANYON VISTA ELEMENTARY",100735
"LOS ANGELES","ACCELERATED SCHOOL",100743
"LOS ANGELES","CLAS AFFIRMATION",100768
"ALAMEDA","THINK COLLEGE NOW",100792
"VENTURA","SOMIS ACADEMY CHARTER SCHOOL",100875
"ORANGE","VISTA DEL MAR ELEMENTARY",100883
"ORANGE","LADERA RANCH ELEM",100909
"SAN DIEGO","TEMPLE HEIGHTS ELEM",100925
"SAN DIEGO","HANNALEI ELEMENTARY",100933
"RIVERSIDE","SIERRA VISTA ELEMENTARY",100958
"RIVERSIDE","CLARA BARTON ELEMENTA",100974
"RIVERSIDE","TEMESCAL VALLEY ELEMENTARY",100982
"ALAMEDA","ASCEND",101001
"ALAMEDA","INTERNATIONAL COMMUNI",101002
"RIVERSIDE","SUNDANCE ELEMENTARY",101006
"SACRAMENTO","ST HOPE PUBLIC SCHOOL 7 (PS7)",101048
"SAN DIEGO","COASTAL ACADEMY",101071
"RIVERSIDE","FRENCH VALLEY ELEMENTARY",101097
"RIVERSIDE","MCSWEENY ELEMENTARY",101121
"RIVERSIDE","HARMONY ELEMENTARY",101139
"MENDOCINO","GRACE HUDSON ELEMENTA",101147
"STANISLAUS","HUNT ELEMENTARY",101188
"SONOMA","JACK LONDON ELEMENTAR",101253
"SACRAMENTO","SOL AUREUS COLLEGE PREPARATORY",101295
"SAN DIEGO","INEGRITY CHARTER SCHO",101360
"ALAMEDA","CHALLENGER",101501
"SAN DIEGO","HERITAGE K - 8 CHARTER",101535
"LOS ANGELES","ESPERANZA ELEMENTARY",101543
"SAN DIEGO","ANNE AND WILLIAM HEDENKAMP ELEM",101592
"LOS ANGELES","NORTHLAKE HILLS ELEMENTARY",101600
"LOS ANGELES","RICHARD RIORDAN PRIMA",101618
"ORANGE","EDWARD B COLE ACADEMY",101626
"LOS ANGELES","WILDER'S PREPARATORY",101667
"SACRAMENTO","COMMUNITY OUTREACH ACADEMY",101766
"SACRAMENTO","EDNA BATEY ELEMENTARY",101790
"TULARE","OAK GROVE ELEMENTARY",101857
"YUBA","BLUE OAKS",101865
"SONOMA","ROSELAND CHARTER",101923
"LOS ANGELES","TODAY'S FRESH START",102020
"KERN","PINE MOUNTAIN LEARNIN",102111
"SANTA BARBARA","CARPINTERIA FAMILY",102129
"SACRAMENTO","WITTER RANCH ELEMENTARY",102277
"TEHAMA","WOODSON ELEMENTARY SC",102301
"BUTTE","PLUMAS AVENUE ELEMENTARY",102327
"LOS ANGELES","OCEAN CHARTER SCHOOL",102335
"SACRAMENTO","ASPIRE CAPITOL HEIGHTS ACADEMY",102343
"CONTRA COSTA","PIONEER ELEMENTARY",102376
"SAN JOAQUIN","PRIMARY CHARTER",102384
"LOS ANGELES","PUC MILAGRO CHARTER",102426
