"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,125,123,123,123,0,0,2006
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,77,75,75,75,0,0,2007
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,89,89,87,88,0,0,2011
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,84,83,83,83,1,0,2012
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,109,109,108,108,0,0,2013
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,108,107,107,108,0,0,2014
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,112,110,109,111,0,0,2004
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,99,98,99,99,0,0,2015
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,111,111,110,110,0,0,2010
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,123,122,121,122,0,0,2005
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,82,82,79,82,0,0,2003
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,122,120,119,119,0,0,2006
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,93,93,93,93,0,0,2009
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,113,112,112,113,0,0,2007
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,91,91,91,91,0,0,2011
"PUBLIC","RIVERSIDE","LAS PALMITAS ELEMENTARY",100248,125,124,125,125,0,0,2008
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,37,37,37,37,0,0,2005
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,40,40,40,40,0,0,2007
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,72,72,72,72,0,0,2013
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,83,83,83,83,0,0,2014
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,38,38,38,38,0,0,2006
"PUBLIC","LOS ANGELES","NEW ACADEMY OF SCIENCE AND ARTS",100289,50,50,50,50,0,0,2012
"PUBLIC","LOS ANGELES","CORNERSTONE PREP CHAR",100297,28,24,27,27,1,0,2005
"PUBLIC","LOS ANGELES","CORNERSTONE PREP CHAR",100297,40,32,40,36,0,0,2010
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,60,59,59,59,1,0,2014
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,115,115,115,115,0,0,2003
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,100,99,100,100,0,0,2005
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,98,95,92,94,0,0,2011
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,94,94,94,94,0,0,2007
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,120,119,118,119,1,0,2006
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,110,107,108,108,0,0,2008
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,119,118,117,117,0,0,2004
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,91,91,89,91,0,0,2009
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,91,91,91,91,0,0,2013
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,82,81,81,81,1,0,2010
