"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,115,112,112,112,3,0,2007
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,120,119,119,119,1,0,2008
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,94,92,92,92,2,0,2014
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,90,89,89,89,1,0,2015
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,130,128,128,128,1,1,2005
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,92,91,91,91,0,0,2013
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,96,95,95,95,1,0,2010
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,117,114,114,114,3,0,2004
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,96,94,94,94,1,1,2012
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,96,96,96,96,0,0,2009
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,112,111,111,111,1,0,2006
"PUBLIC","SANTA CLARA","CAROLYN A CLARK ELEME",102616,96,95,95,95,1,0,2011
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,124,124,124,124,0,0,2011
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,124,123,123,123,1,0,2010
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,120,118,118,118,2,0,2009
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,160,160,157,160,0,0,2006
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,120,119,118,119,0,1,2008
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,122,119,118,118,0,0,2015
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,112,110,110,110,1,0,2014
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,136,135,135,135,0,0,2004
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,116,116,115,116,0,0,2013
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,139,138,137,139,0,0,2005
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,80,79,79,79,1,0,2007
"PUBLIC","MERCED","LORENA FALASCO ELEMENTARY",102624,124,123,123,123,1,0,2012
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,120,115,115,115,0,0,2007
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,119,113,109,112,1,0,2006
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,98,93,94,95,0,0,2014
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,125,113,114,114,0,0,2004
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,119,115,114,112,0,0,2008
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,125,125,124,124,0,0,2005
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,108,106,106,106,2,0,2012
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,103,101,101,101,1,0,2015
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,134,123,122,123,0,0,2009
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,119,116,117,116,2,0,2011
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,107,107,102,101,0,0,2010
"PUBLIC","SAN JOAQUIN","ANSEL ADAMS",102632,111,107,108,108,0,0,2013
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,107,94,103,98,0,0,2012
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,81,80,80,80,0,0,2009
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,90,89,89,89,0,1,2013
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,94,93,93,93,0,0,2015
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,101,91,89,92,0,1,2014
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,105,100,104,104,1,0,2011
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,73,73,73,73,0,0,2005
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,72,67,68,66,0,0,2006
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,83,80,80,80,0,1,2008
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,103,97,97,97,0,0,2007
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,74,69,71,71,0,0,2004
"PUBLIC","SANTA CRUZ","RADCLIFF ELEMENTARY",102665,94,93,93,93,0,0,2010
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,120,119,119,119,0,1,2015
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,102,100,100,99,1,1,2008
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,102,101,101,101,1,0,2010
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,97,97,97,97,0,0,2011
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,101,100,100,100,1,0,2009
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,103,101,101,101,0,0,2006
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,109,109,109,109,0,0,2007
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,112,112,112,112,0,0,2005
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,133,132,132,132,1,0,2013
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,136,136,136,136,0,0,2014
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,108,108,108,108,0,0,2012
"PUBLIC","SANTA CRUZ","LANDMARK ELEMENTARY",102673,80,80,80,80,0,0,2004
"PUBLIC","TULARE","JOHN F KENNEDY ELEMENTARY",102707,103,103,103,103,0,0,2014
"PUBLIC","TULARE","JOHN F KENNEDY ELEMENTARY",102707,80,80,80,80,0,0,2015
"PUBLIC","TULARE","JOHN F KENNEDY ELEMENTARY",102707,80,79,79,79,1,0,2013
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,152,150,150,150,1,0,2015
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,106,105,104,104,0,0,2013
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,92,92,90,91,0,0,2014
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,113,110,109,110,0,0,2004
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,98,96,96,94,2,0,2010
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,113,112,112,112,0,0,2005
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,111,108,108,108,1,0,2006
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,97,94,93,94,2,1,2011
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,97,96,96,93,0,0,2008
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,94,90,88,89,4,0,2012
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,112,111,109,111,0,0,2007
"PUBLIC","RIVERSIDE","ESTUDILLO ELEMENTARY",102715,99,96,95,95,1,0,2009
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,70,67,67,67,3,0,2011
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,105,98,96,96,1,0,2008
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,127,121,121,121,6,0,2009
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,70,62,62,62,5,0,2005
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,61,60,60,60,0,0,2004
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,135,131,130,131,0,0,2007
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,74,69,69,69,5,0,2012
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,70,66,66,66,4,0,2010
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,137,132,132,132,5,0,2014
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,102,98,99,99,0,1,2006
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,72,69,69,69,3,0,2013
"PUBLIC","RIVERSIDE","CLAYTON A RECORD, JR ELEMENTARY",102723,136,131,131,131,5,0,2015
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,145,143,143,143,1,1,2015
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,120,116,116,117,0,0,2007
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,145,142,139,142,0,0,2011
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,146,138,139,140,0,0,2006
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,153,142,142,142,0,0,2014
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,113,108,108,109,0,0,2005
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,159,152,136,148,1,1,2013
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,115,110,109,109,0,1,2004
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,121,108,108,108,3,0,2012
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,129,124,125,125,0,0,2008
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,150,147,146,147,1,0,2009
"PUBLIC","RIVERSIDE","TOWNGATE ELEMENTARY",102731,149,146,146,146,1,0,2010
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,115,81,81,80,32,0,2013
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,59,58,57,57,0,1,2004
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,74,74,74,74,0,0,2005
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,80,78,77,77,2,0,2006
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,74,68,70,68,4,0,2008
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,82,79,79,79,2,0,2009
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,107,104,102,104,0,1,2015
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,76,66,62,64,10,0,2011
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,93,67,67,67,24,0,2010
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,100,93,90,95,3,1,2007
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,105,101,101,101,3,0,2014
"PUBLIC","RIVERSIDE","BROOKSIDE ELEMENTARY",102749,92,88,87,88,4,0,2012
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,120,115,112,117,3,0,2013
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,127,124,123,124,2,0,2008
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,114,112,112,112,0,0,2007
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,138,137,137,137,0,0,2006
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,113,111,110,110,2,0,2005
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,148,145,145,145,0,1,2011
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,123,120,119,121,1,0,2009
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,130,127,128,128,2,0,2010
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,82,81,81,81,0,1,2004
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,126,125,124,125,1,0,2014
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,129,127,124,126,2,0,2012
"PUBLIC","RIVERSIDE","CAWSTON ELEMENTARY",102772,122,118,115,117,2,0,2015
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,110,108,108,108,0,0,2015
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,101,98,99,98,2,0,2009
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,85,83,83,83,1,1,2013
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,63,63,62,63,0,0,2006
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,88,87,87,88,0,0,2014
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,70,68,68,68,1,0,2005
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,127,126,126,126,0,0,2010
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,55,54,54,55,0,0,2004
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,92,87,87,87,1,0,2011
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,70,67,69,69,1,0,2012
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,80,79,79,79,0,1,2007
"PUBLIC","PLACER","THOMAS JEFFERSON ELEM",102798,95,91,88,94,0,0,2008
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,93,90,90,90,1,0,2007
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,97,93,93,93,4,0,2006
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,123,105,107,110,3,2,2013
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,92,90,91,91,0,0,2009
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,125,124,124,122,0,0,2010
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,92,88,88,88,1,3,2004
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,112,107,105,106,2,0,2012
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,97,95,93,92,0,0,2008
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,56,52,51,53,3,0,2014
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,97,93,93,94,1,1,2005
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,90,81,81,81,3,0,2011
"PUBLIC","PLACER","BLUE OAKS ELEMENTARY",102806,96,87,87,87,0,0,2015
"PUBLIC","ORANGE","PARKSIDE PREK SDC",102814,24,23,23,23,0,0,2009
"PUBLIC","ORANGE","PARKSIDE PREK SDC",102814,18,16,16,16,1,0,2008
"PUBLIC","ORANGE","PARKSIDE PREK SDC",102814,23,7,7,7,1,0,2006
"PUBLIC","ORANGE","PARKSIDE PREK SDC",102814,23,9,9,8,0,0,2007
"PUBLIC","ORANGE","PARKSIDE PREK SDC",102814,24,21,21,21,0,0,2010
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,174,166,166,166,5,2,2015
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,179,169,170,170,7,0,2010
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,195,186,183,183,3,0,2009
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,160,154,154,155,3,0,2006
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,187,168,168,171,7,0,2013
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,201,191,191,191,9,1,2011
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,180,152,141,143,4,1,2008
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,185,167,167,168,2,1,2005
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,217,208,208,208,5,2,2012
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,196,173,173,174,4,0,2004
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,163,145,143,143,1,1,2007
"PUBLIC","SAN DIEGO","STONE RANCH ELEMENTARY",102822,170,154,154,154,16,0,2014
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,117,116,116,116,0,0,2006
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,111,108,107,108,0,0,2004
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,138,126,126,127,0,0,2009
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,134,131,133,133,0,0,2010
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,97,97,97,97,0,0,2007
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,129,128,128,128,0,0,2012
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,101,98,101,99,0,0,2008
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,132,132,131,131,0,0,2011
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,110,104,106,106,0,0,2005
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,149,148,149,148,0,0,2015
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,160,158,159,159,0,0,2013
"PUBLIC","SANTA BARBARA","DAVID J SANCHEZ, SR ELEMENTARY",102848,161,160,161,161,0,0,2014
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,133,133,132,133,0,0,2015
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,100,77,76,77,0,0,2004
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,110,108,108,108,2,0,2007
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,127,123,123,122,0,1,2009
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,131,129,129,129,0,1,2012
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,96,95,95,95,1,0,2006
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,156,156,153,156,0,0,2013
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,104,99,99,99,0,0,2010
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,118,118,118,118,0,0,2011
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,129,128,126,128,0,0,2014
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,108,108,106,108,0,0,2005
"PUBLIC","SANTA BARBARA","LIBERTY ELEMENTARY",102863,95,92,93,93,1,0,2008
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,186,178,175,176,7,0,2011
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,129,88,83,89,2,0,2006
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,163,150,153,153,7,3,2014
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,198,189,174,175,4,0,2010
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,132,107,117,109,0,0,2008
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,216,190,184,191,5,0,2013
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,165,143,145,145,1,0,2012
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,188,160,162,165,5,1,2009
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,98,78,70,75,0,1,2004
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,135,115,110,117,0,0,2007
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,165,161,161,161,4,0,2015
"PUBLIC","ORANGE","HICKS CANYON ELEMENTARY",102889,100,99,99,99,1,0,2005
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,102,100,101,101,0,0,2005
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,110,109,108,108,0,0,2006
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,137,137,136,137,0,0,2012
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,136,134,134,133,0,0,2014
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,105,104,103,103,1,0,2008
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,113,112,112,112,0,0,2011
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,120,111,109,108,0,0,2007
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,136,123,126,124,1,0,2013
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,119,117,119,118,0,0,2010
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,100,85,87,87,5,0,2009
"PUBLIC","ORANGE","MELROSE ELEMENTARY",102897,99,96,96,96,0,0,2015
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,116,112,113,113,3,0,2015
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,147,145,145,145,2,0,2008
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,111,106,104,106,3,0,2007
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,116,111,111,112,4,0,2013
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,133,131,131,130,1,0,2006
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,87,87,86,86,0,0,2005
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,133,127,125,126,6,0,2010
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,129,123,122,123,4,0,2012
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,146,140,140,140,5,0,2014
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,128,121,120,121,5,2,2009
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,137,128,128,128,8,1,2011
"PUBLIC","SAN BERNARDINO","ETIWANDA COLONY ELEMENTARY",102939,108,105,106,106,0,0,2004
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,40,38,38,38,0,0,2004
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,40,39,39,39,0,0,2005
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,52,50,15,16,0,0,2012
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,51,42,46,47,0,0,2011
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,40,40,40,40,0,0,2007
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,42,42,41,41,0,0,2008
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,54,15,15,14,0,0,2014
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,49,10,10,10,0,0,2013
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,51,51,43,41,0,0,2010
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,48,45,44,45,0,0,2009
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,43,37,38,39,0,1,2006
"PUBLIC","ALAMEDA","ENCOMPASS ACADEMY ELEMENTARY",102988,61,61,61,61,0,0,2015
"PUBLIC","SAN DIEGO","SAN ELIJO SCHOOL",105684,201,190,190,190,9,0,2007
"PUBLIC","SAN DIEGO","SAN ELIJO SCHOOL",105684,132,128,128,128,3,0,2005
"PUBLIC","SAN DIEGO","SAN ELIJO SCHOOL",105684,59,56,57,57,1,0,2004
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,60,59,60,60,0,0,2004
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,60,60,60,60,0,0,2006
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,71,71,71,71,0,0,2005
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,69,69,68,69,0,0,2014
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,60,58,58,57,1,1,2007
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,80,79,79,80,0,0,2008
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,78,78,78,78,0,0,2010
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,80,80,80,80,0,0,2012
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,69,69,69,69,0,0,2009
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,75,75,75,75,0,0,2011
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,67,67,66,66,0,0,2013
"PUBLIC","FRESNO","A L CONNER ELEMENTARY",105692,41,41,41,41,0,0,2015
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,91,87,87,87,4,0,2015
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,99,94,94,96,1,0,2005
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,79,71,71,71,8,0,2010
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,80,78,77,77,0,0,2007
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,107,102,103,103,4,0,2013
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,60,56,56,56,4,0,2008
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,68,64,64,65,3,0,2009
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,113,112,112,111,1,0,2004
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,85,81,81,81,4,0,2011
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,112,106,106,106,4,1,2014
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,82,79,79,79,3,0,2006
"PUBLIC","STANISLAUS","MARY LOU DIETERICH EL",105700,80,74,73,73,6,0,2012
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,64,60,60,61,2,0,2015
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,89,86,85,87,0,0,2014
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,80,76,74,75,0,1,2007
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,81,77,74,74,0,0,2012
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,82,74,75,75,0,1,2004
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,88,85,85,85,1,0,2010
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,80,77,77,77,1,0,2009
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,80,75,71,75,0,0,2008
"PUBLIC","SAN JOAQUIN","TRAINA (ANTHONY C) SC",105718,72,72,72,72,0,0,2013
