longitude,latitude,school_code,countyMatch,isSchool
-121.5057296,38.5402567,6976393,0,1
-121.4702962,38.5547665,6976401,1,0
-121.4394992,38.5403771,534501,1,1
-121.4394992,38.5403771,6130389,1,1
-121.3155727,38.5862128,6918965,1,0
-121.477225,38.560885,6976427,1,1
-115.083641,36.042192,9134508,0,1
-121.444864,38.473618,9134510,1,1
-121.444864,38.473618,9134505,1,1
-121.3453505,38.6878521,6911358,1,1
-121.4652384,38.5749938,6923296,1,1
-121.3667027,38.4520021,7020969,1,1
-121.391237,38.493719,7095441,1,1
-121.5176413,38.492541,7020977,1,1
-121.3654907,38.4516408,6133391,1,1
-121.4829345,38.59108,7064991,1,1
-121.4264219,38.6267755,6954226,1,1
-121.4513167,38.5429495,9034501,1,0
-121.2199598,38.6711884,6976443,1,1
-121.3470416,38.603293,6976450,1,1
-121.4815134,38.6279844,6927305,1,1
-121.394985,38.420252,7086853,1,1
-121.2820928,38.6995431,6906317,1,0
-121.4955266,38.5848234,6976492,1,1
-121.5045892,38.5529173,7078330,0,1
-121.335185,38.648718,6938195,1,1
-121.4002568,38.5692924,6938211,1,1
-121.4002568,38.5692924,6938213,1,1
-121.48872,38.5866,7090111,1,1
-121.2872459,38.6319641,6938203,1,1
-121.4546726,38.57202,6976542,1,1
-121.4446007,38.4831184,6976567,1,1
-121.3632461,38.6894448,6906283,1,0
-121.4347824,38.5591426,6976625,1,1
-121.274414,38.6521136,6976633,1,1
-121.3540092,38.604069,6981914,1,1
-121.4873071,38.5298005,6976666,1,1
-121.3510111,38.6474659,6133037,1,1
-121.4096167,38.5766224,6904395,1,1
-121.4764773,38.644459,7070709,1,1
-121.424188,38.4842813,7020837,1,1
-121.4814091,38.4768052,6976559,1,1
-121.4254723,38.4109605,7100647,1,1
-121.4736949,38.5734629,6976575,1,1
-121.3890911,38.5964609,6976583,1,1
-121.5072688,38.5696742,7096506,0,1
-121.3308444,38.6434487,6976591,1,1
-121.3017616,38.6033519,6976609,1,1
-121.1544382,38.6819594,6976435,1,1
-121.4573078,38.6077922,6976468,1,1
-121.2733604,38.6703461,6976617,1,1
-121.4700305,38.5180061,6976641,1,1
-121.3704677,38.4411255,7082423,1,1
-121.3697278,38.4411488,6966063,1,1
-121.4104446,38.610577,6976658,1,0
-121.3915801,38.6008653,7086911,1,1
-121.2250758,38.656836,6167720,1,1
-121.1689136,38.678708,6132591,1,1
-121.3695554,38.6181255,6976690,1,1
-121.3660215,38.6618859,6902035,1,1
-121.2954879,38.7217131,7072895,1,1
-121.3371271,38.620394,6905269,1,1
-121.266536,38.653915,6911408,1,1
-121.3470769,38.5948091,6997274,1,1
-121.3470769,38.5948091,6997276,1,1
-121.2803289,38.7001914,6143549,1,1
-121.374839,36.832705,7067101,1,1
-121.376689,36.867372,6981922,1,1
-121.4096386,36.8513387,6981930,1,1
0,0,6204630,0,0
0,0,6206403,0,0
-117.1672398,34.0575199,6920300,1,1
-117.3106863,34.1160888,7079908,1,0
-117.4276712,34.0717626,6141550,1,1
-117.587529,34.133581,6919765,1,1
-117.1800381,34.0605691,6938369,1,0
-117.2738722,34.5417032,7082209,1,0
-117.17867,34.4938559,6900690,1,1
-117.3105778,34.0329433,6921670,1,0
-117.567561,34.1076684,6912612,1,0
-117.0090402,34.8909501,6974794,1,1
-97.6313757,35.5447326,9436501,0,0
-116.0376292,34.1297774,6957682,1,0
-117.393595,34.0735744,6905582,1,1
-117.343067,34.50355,236501,1,1
-117.2095836,34.0480115,7071251,1,1
-117.3563708,34.1095043,7071269,1,0
-117.2090831,34.0773426,6957708,1,1
-117.3973134,34.0917521,6132849,1,1
-116.984033,32.632151,6203186,0,1
-117.6603409,34.1188542,6927370,1,1
-117.298385,34.164814,730505,1,1
-117.620237,34.0951114,7090640,1,1
-117.2878941,33.1945303,7084908,0,1
-117.2878941,33.1945303,6927396,0,1
-117.2878941,33.1945303,6927453,0,1
-117.725,34.0188,7042377,1,1
-117.730466,33.998463,6203038,1,0
-117.730466,33.998463,7094477,1,1
-117.7141842,34.0189058,6206809,1,1
-117.7141842,34.0189058,7092299,1,1
-117.7141842,34.0189058,7092638,1,1
-111.997541,33.4948003,9136514,0,1
-117.1554202,34.0330269,6957740,1,1
-117.1552894,34.0382663,7072234,1,0
-117.286947,34.163012,6921795,1,1
-117.6953659,34.0187316,7019102,1,1
-117.5230294,34.1317013,7096696,1,0
-117.2575304,34.1610206,6957799,1,1
-117.2991129,34.1441008,7070501,1,1
-117.6881254,34.0488528,7082654,1,0
-117.2575304,34.1610206,6915151,1,1
-117.4166049,34.1003849,6974877,1,0
-117.6734223,34.117613,6921696,1,0
-117.7250136,34.0203717,6202832,1,1
-117.309426,34.168139,7049539,1,1
-117.142807,32.921238,7089857,0,0
-117.2971107,34.4169069,6938534,1,1
-117.277012,34.540818,7082639,1,1
-117.4574383,34.5472743,7096712,1,1
-117.2091275,34.1291251,7060817,1,0
-117.2900186,34.139938,6974901,1,1
-117.1842323,34.1189386,7094170,1,0
-117.184611,34.118759,6133664,1,1
-117.2544295,34.1389365,7072614,1,1
-117.2731609,34.1036858,636501,1,0
-116.4121537,34.0966668,6138085,1,1
-116.4121537,34.0966668,7085236,1,1
-117.559829,34.0698104,7080047,1,0
-117.6834417,34.0206745,6902894,1,1
-117.317655,34.471328,7101868,1,1
-117.2693837,34.0681932,7100779,1,0
-117.2755427,34.1193579,6146641,1,1
-115.083641,36.042192,7080450,0,1
-117.2095836,34.0480115,436501,1,1
-115.083641,36.042192,7080617,0,1
-115.083641,36.042192,7081011,0,1
-115.083641,36.042192,7080195,0,1
-115.083641,36.042192,7081045,0,1
-117.381547,34.121952,7072762,1,1
-117.381547,34.121952,7085269,1,1
-117.381547,34.121952,236502,1,1
-117.1896547,34.2475657,6903918,1,0
-117.2766656,34.4745811,7105174,1,1
-117.3028344,34.5012143,7103112,1,1
0,0,6201412,0,0
-117.3422,34.1732329,6144422,1,1
-117.2771765,34.0742422,6202022,1,0
-117.2632026,34.0594498,6913040,1,1
-117.2641774,34.049452,7011802,1,0
-117.7332695,33.9840809,7089006,1,1
0,0,9136535,0,0
-117.707656,34.075507,6133219,1,0
-117.7064068,34.0188103,7071798,1,1
-117.6474526,34.1081811,6141154,1,1
-117.5067,34.1047166,7091523,1,1
-117.2165224,34.0525413,6999254,1,1
-117.5940743,34.0907748,7091507,1,1
-117.5289466,34.1288093,6205751,1,1
-122.441349,37.7812356,6974976,0,0
-117.242525,34.064561,6206353,1,1
-83.6295159,32.8395575,7072911,0,0
-117.1498277,33.1473221,7058845,0,1
-117.7055243,34.0114032,6924385,1,1
-117.3136709,34.4351282,7010051,1,1
-117.298385,34.164814,7058803,1,1
